model,card_date,survey,n,uplift_measure,uplift_multiple,uplift_mean,uplift_low,uplift_high,drop_in_yes,drop_in_n,drop_in_note,quote,source_file,page
Claude Opus 4,2025-05,internal researcher survey,4,qualitative,,,,,0,4,0 of 4 say it could completely automate a junior ML researcher,"Internal surveys of Anthropic researchers indicate that the model provides some productivity gains, but all researchers agreed that Claude Opus 4 does not",cards/anthropic/claude-4-system-card.pdf,107
Claude Sonnet 4.5,2025-09,internal model evaluation and use survey,7,median of six numeric estimates (100/40/30/20/20/15%),1.25,1.375,1.15,2.0,0,7,0 of 7 believed the model could completely automate the work of a junior ML researcher,0/7 researchers believed that the model could completely automate the work of a junior ML researcher … One participant estimated an overall productivity boost of ~100%,cards/anthropic/claude-sonnet-4-5-system-card.pdf,148
Claude Opus 4.5,2025-11,internal survey,18,median productivity improvement (mean 220%),2.0,3.2,,,0,18,none believed the model could fully automate an entry-level remote-only research or engineering role,"Nine of 18 participants reported ≥100% productivity improvements, with a median estimate of 100% and a mean estimate of 220%.",cards/anthropic/claude-opus-4-5-system-card.pdf,142
Claude Opus 4.6,2026-02,internal survey,16,median productivity improvement (mean 152%; range 30 to 700%),2.0,2.52,1.3,8.0,0,16,raw answers 2 'already possible' and 3 'likely within 3 months of scaffolding'; 0 of 16 after clarification,None of the 16 internal survey participants believed Opus 4.6 could fully automate entry-level remote-only research or engineering roles at Anthropic given current or near-future elicitation and scaffolding,cards/anthropic/claude-opus-4-6-system-card.pdf,14
Claude Mythos Preview,2026-04,informal Slack poll on uplift relative to zero AI assistance (n about 130); drop-in survey n=18,130,geometric mean,4.0,,,,1,18,1 of 18 'already here'; 4 of 18 give 50% odds within 3 months of scaffolding,We surveyed technical staff on the productivity uplift they experience from Claude Mythos Preview relative to zero AI assistance. The distribution is wide and the geometric mean is on the order of 4×.,cards/anthropic/claude-mythos-preview-system-card.pdf,44
Claude Fable 5.1 / Mythos 5.1,2026-09,METR external assessment (no staff survey),,qualitative: likely above Mythos Preview,,,,,,,,[METR:] we expect that [Mythos 5.1] likely provides a higher productivity uplift than Mythos Preview.,cards/anthropic/claude-fable-5-1-claude-mythos-5-1-system-card.pdf,41
